date                prior     s1s2   no-S1A   no-S1B   no-S2A   no-S2B
2017-05-01T16:58   0.2000   0.1344   0.1866   0.1410   0.1344   0.1344
2017-05-04T05:26   0.2000   0.1183   0.1348   0.1571   0.1183   0.1183
2017-05-05T05:17   0.2000   0.1246   0.1575   0.1262   0.1247   0.1247
2017-05-06T17:06   0.2000   0.1241   0.1762   0.1252   0.1241   0.1241
2017-05-10T05:26   0.2000   0.1140   0.1587   0.1176   0.1140   0.1140
2017-05-10T12:00   0.2000   0.1424   0.1450   0.1433   0.1424   0.1424
2017-05-11T05:17   0.2000   0.1221   0.1250   0.1467   0.1221   0.1221
2017-05-11T12:00   0.2000   0.1561   0.1564   0.1587   0.1561   0.1561
2017-05-12T12:00   0.2000   0.1560   0.1563   0.1587   0.1560   0.1560
2017-05-12T17:06   0.2000   0.1208   0.1235   0.1467   0.1208   0.1208
2017-05-13T12:00   0.2000   0.1423   0.1438   0.1434   0.1423   0.1423
2017-05-13T16:58   0.2000   0.1130   0.1467   0.1184   0.1131   0.1130
2017-05-14T12:00   0.2000   0.1552   0.1587   0.1556   0.1552   0.1552
2017-05-15T12:00   0.2000   0.1553   0.1555   0.1587   0.1554   0.1553
2017-05-16T05:26   0.2000   0.1135   0.1169   0.1466   0.1146   0.1135
2017-05-16T12:00   0.2000   0.1411   0.1426   0.1428   0.1426   0.1411
2017-05-17T05:17   0.2000   0.1089   0.1407   0.1107   0.1231   0.1091
2017-05-17T10:20   0.2000   0.0807   0.0851   0.0808   0.1449   0.0807
2017-05-17T12:00   0.2000   0.1525   0.1528   0.1525   0.1585   0.1525
2017-05-18T12:00   0.2000   0.1559   0.1588   0.1559   0.1562   0.1559
2017-05-18T17:06   0.2000   0.1215   0.1482   0.1218   0.1234   0.1216
2017-05-19T12:00   0.2000   0.1562   0.1591   0.1562   0.1564   0.1562
2017-05-20T12:00   0.2000   0.1758   0.1762   0.1758   0.1758   0.1758
2017-05-22T05:26   0.2000   0.1186   0.1566   0.1218   0.1193   0.1186
2017-05-23T05:17   0.2000   0.1230   0.1263   0.1561   0.1249   0.1230
2017-05-24T17:06   0.2000   0.1177   0.1190   0.1754   0.1276   0.1179
2017-05-27T10:20   0.2000   0.0825   0.0829   0.0881   0.1553   0.0826
2017-05-28T05:26   0.2000   0.1002   0.1038   0.1387   0.1119   0.1004
2017-05-29T05:17   0.2000   0.1194   0.1545   0.1207   0.1227   0.1195
2017-05-30T17:06   0.2000   0.1209   0.1761   0.1214   0.1235   0.1210
2017-06-03T05:26   0.2000   0.1028   0.1523   0.1035   0.1147   0.1030
2017-06-03T10:10   0.2000   0.0724   0.0755   0.0755   0.1425   0.0725
2017-06-04T05:17   0.2000   0.1098   0.1109   0.1523   0.1225   0.1100
2017-06-05T17:06   0.2000   0.1216   0.1226   0.1761   0.1238   0.1217
2017-06-09T05:26   0.2000   0.1131   0.1161   0.1565   0.1139   0.1131
2017-06-10T05:17   0.2000   0.1217   0.1556   0.1251   0.1235   0.1218
2017-06-11T17:06   0.2000   0.1180   0.1754   0.1190   0.1270   0.1182
2017-06-13T10:10   0.2000   0.0791   0.0827   0.0792   0.1756   0.0791
2017-06-15T05:26   0.2000   0.1090   0.1554   0.1124   0.1173   0.1091
2017-06-16T05:17   0.2000   0.1215   0.1228   0.1553   0.1239   0.1215
2017-06-17T17:06   0.2000   0.1230   0.1240   0.1762   0.1236   0.1230
2017-06-21T05:26   0.2000   0.1122   0.1152   0.1566   0.1128   0.1122
2017-06-22T05:17   0.2000   0.1223   0.1555   0.1258   0.1242   0.1224
2017-06-23T17:06   0.2000   0.1171   0.1754   0.1179   0.1268   0.1173
2017-06-26T10:20   0.2000   0.0841   0.0899   0.0843   0.1553   0.0842
2017-06-27T05:26   0.2000   0.1003   0.1389   0.1032   0.1121   0.1005
2017-06-28T05:17   0.2000   0.1200   0.1216   0.1544   0.1231   0.1201
2017-06-29T17:06   0.2000   0.1228   0.1238   0.1761   0.1234   0.1228
2017-07-03T05:26   0.2000   0.1131   0.1164   0.1564   0.1137   0.1132
2017-07-04T05:17   0.2000   0.1211   0.1554   0.1244   0.1229   0.1212
2017-07-05T17:06   0.2000   0.1081   0.1530   0.1088   0.1195   0.1083
2017-07-06T10:20   0.2000   0.0838   0.0890   0.0839   0.1551   0.0848
2017-07-08T10:10   0.2000   0.0748   0.0781   0.0749   0.0762   0.1543
2017-07-09T05:26   0.2000   0.1013   0.1383   0.1042   0.1022   0.1109
2017-07-10T05:17   0.2000   0.1192   0.1209   0.1545   0.1195   0.1216
2017-07-11T17:06   0.2000   0.1228   0.1239   0.1761   0.1230   0.1233
2017-07-15T05:26   0.2000   0.1128   0.1161   0.1564   0.1130   0.1134
2017-07-16T05:17   0.2000   0.1207   0.1553   0.1239   0.1209   0.1227
2017-07-17T17:06   0.2000   0.1085   0.1523   0.1092   0.1092   0.1211
2017-07-18T10:10   0.2000   0.0738   0.0791   0.0739   0.0741   0.1561
2017-07-21T05:26   0.2000   0.1006   0.1522   0.1016   0.1020   0.1183
2017-07-21T10:20   0.2000   0.0775   0.0812   0.0809   0.0780   0.1430
2017-07-22T05:17   0.2000   0.1106   0.1117   0.1527   0.1113   0.1241
2017-07-23T17:06   0.2000   0.1217   0.1235   0.1761   0.1220   0.1240
2017-07-27T05:26   0.2000   0.1138   0.1214   0.1570   0.1139   0.1144
2017-07-28T05:17   0.2000   0.1266   0.1562   0.1303   0.1267   0.1269
2017-07-29T17:06   0.2000   0.1454   0.1869   0.1465   0.1455   0.1455
